Stock1,Stock2,AvgDelay
ABT,AAPL,29.005443237193443
ACN,AAPL,27.514319846783497
ACN,ABT,26.67241379310345
ADBE,AAPL,28.898957479548976
ADBE,ABT,29.26865671641791
AAPL,AMZN,23.2715821743205
AMZN,ABT,28.8135593220339
AAPL,ABT,27.265949651897124
BMY,AAPL,30.765688363997434
BMY,ABT,32.0030303030303
BRK-B,AAPL,30.85732782362496
ABT,BRK-B,32.84722222222222
AAPL,CMCSA,27.717411338078474
CMCSA,ABT,27.36842105263158
AAPL,COST,28.600083938714608
CRM,AAPL,26.96664555330407
CRM,ABT,36.41379310344828
CSCO,AAPL,29.43261735289668
CVX,ABT,27.774193548387096
AAPL,DHR,25.480005099306958
ABT,DHR,19.09433962264151
AAPL,DIS,28.047865684409604
ABT,DIS,34.17391304347826
GOOGL,ABT,15.48076923076923
HD,AAPL,29.916717786548915
HD,ABT,21.846153846153847
AAPL,HON,27.79699140679999
ABT,HON,27.152542372881356
IBM,AAPL,29.110648751332786
ABT,IBM,25.82089552238806
AAPL,INTC,27.53338902688648
ABT,INTC,22.515625
JNJ,AAPL,27.529908559341326
KO,AAPL,30.869815248537044
AAPL,LIN,28.975660123038367
LIN,ABT,22.70967741935484
AAPL,LLY,28.60075851376479
ABT,LLY,26.96551724137931
MA,AAPL,26.144077000941095
MA,ABT,35.24590163934426
MDT,AAPL,27.251179669269376
MDT,ABT,30.580645161290324
MRK,AAPL,27.77789027764948
ABT,MRK,24.53968253968254
AAPL,MSFT,24.555257442396602
ABT,MSFT,25.966666666666665
NEE,AAPL,29.813546719970077
AAPL,NFLX,31.441437967326465
ABT,NFLX,28.31372549019608
NKE,ABT,23.92753623188406
NVDA,AAPL,33.36164688885534
AAPL,ORCL,25.875885975054732
ORCL,ABT,28.754716981132077
ABT,PEP,26.16417910447761
AAPL,PFE,29.77645890799074
AAPL,PG,27.3658265265189
ABT,PG,25.089285714285715
QCOM,AAPL,26.50263991800907
ABT,QCOM,18.642857142857142
RTX,AAPL,29.335837330855327
AAPL,T,34.70398944655256
ABT,T,34.49152542372882
TMO,ABT,25.253968253968253
TXN,AAPL,25.74169111029612
UNH,AAPL,29.901574634758315
ABT,UNH,21.28787878787879
VZ,ABT,25.875
AAPL,WMT,31.116210209722453
ABT,WMT,27.897058823529413
XOM,ABT,30.915254237288135
GLD,AAPL,33.62845165280628
GLD,ABT,31.05291005291005
SLV,ABT,39.81481481481482
AAPL,ACN,26.619484279623492
AAPL,ADBE,29.69174958142872
ACN,ADBE,20.73456790123457
AMZN,ACN,16.98181818181818
BMY,ACN,37.30909090909091
AAPL,BRK-B,30.602167637778255
BRK-B,ACN,25.372549019607842
CMCSA,AAPL,30.06961989488261
ACN,CMCSA,28.272727272727273
COST,ACN,31.422619047619047
CRM,ACN,17.0125
AAPL,CSCO,28.278521242104834
ACN,CSCO,32.41798941798942
CVX,ACN,28.75409836065574
DHR,AAPL,27.04232604108265
DHR,ACN,20.272727272727273
DIS,ACN,16.58823529411765
GOOGL,AAPL,25.40891354616297
GOOGL,ACN,23.28
HON,ACN,22.076923076923077
INTC,ACN,26.82608695652174
ACN,JNJ,19.576923076923077
ACN,LIN,32.484375
LLY,AAPL,28.500675305819268
LLY,ACN,27.637931034482758
AAPL,MA,27.981744706045323
MA,ACN,26.69811320754717
MCD,AAPL,28.94596692556885
MCD,ACN,27.11320754716981
ACN,MDT,30.36111111111111
MSFT,AAPL,24.416030585051313
MSFT,ACN,37.145833333333336
NEE,ACN,31.586206896551722
NKE,AAPL,25.867188758099267
NVDA,ACN,37.56363636363636
PEP,AAPL,28.147794861082904
ACN,PEP,26.24561403508772
PFE,AAPL,32.04297850137813
ACN,PG,35.111111111111114
AAPL,QCOM,24.00464628280409
QCOM,ACN,23.0188679245283
ACN,RTX,23.68421052631579
ACN,T,37.84722222222222
AAPL,TMO,29.99818625695283
ACN,TMO,24.015151515151516
AAPL,TXN,23.936001444963484
ACN,TXN,23.070422535211268
ACN,UNH,31.32857142857143
VZ,AAPL,31.95713301797507
VZ,ACN,32.3448275862069
ACN,XOM,30.073529411764707
CL=F,ACN,29.140625
ACN,GLD,34.18518518518518
AAPL,SLV,32.79396970405062
AMZN,AAPL,24.449368342452996
AMZN,ADBE,33.114754098360656
AAPL,BMY,29.48536959140263
BRK-B,ADBE,26.245283018867923
ADBE,CMCSA,33.33846153846154
COST,ADBE,27.01492537313433
AAPL,CRM,26.334261169026625
CRM,ADBE,33.05757575757576
CSCO,ADBE,25.25423728813559
AAPL,CVX,30.508754895460786
CVX,ADBE,26.04054054054054
DHR,ADBE,32.84285714285714
GOOGL,ADBE,39.12903225806452
HD,ADBE,29.448275862068964
HON,ADBE,30.173076923076923
AAPL,IBM,30.100264166849513
IBM,ADBE,27.071794871794868
ADBE,INTC,39.63934426229508
KO,ADBE,37.289855072463766
ADBE,LIN,30.01851851851852
MCD,ADBE,27.26984126984127
AAPL,MRK,28.771856892144207
MSFT,ADBE,30.54054054054054
NEE,ADBE,45.706896551724135
ADBE,NFLX,29.065573770491802
AAPL,NKE,25.246452803350234
NVDA,ADBE,34.55172413793103
ORCL,ADBE,31.545454545454547
PFE,ADBE,34.2
PG,AAPL,28.41869127072235
QCOM,ADBE,23.0
AAPL,RTX,28.208609833684992
RTX,ADBE,33.74242424242424
T,ADBE,35.32142857142857
TMO,AAPL,30.765877851092927
TMO,ADBE,29.545454545454547
TXN,ADBE,23.1
ADBE,UNH,32.33898305084746
AAPL,VZ,30.28969452849781
ADBE,WMT,40.55
AAPL,XOM,29.497146787555653
ADBE,XOM,25.04255319148936
CL=F,AAPL,33.73850294803073
CL=F,ADBE,37.72222222222222
AAPL,GLD,34.288821962079254
ADBE,GLD,39.34782608695652
SLV,ADBE,38.6140350877193
AMZN,BMY,28.529411764705884
AMZN,BRK-B,32.015625
CMCSA,AMZN,29.12727272727273
COST,AMZN,23.436363636363637
AMZN,CRM,29.48148148148148
AMZN,CSCO,28.43548387096774
CVX,AMZN,25.88135593220339
AMZN,DHR,25.629032258064516
DIS,AMZN,22.913793103448278
GOOGL,AMZN,21.0625
AAPL,HD,28.299384292267963
AMZN,HD,29.714285714285715
HON,AMZN,20.32857142857143
AMZN,IBM,29.58730158730159
INTC,AAPL,28.041506295263225
AAPL,JNJ,27.413627546192455
