Stock1,Stock2,AvgDelay
AAPL,ABT,26.986537232342613
AAPL,ACN,24.18032786885246
ABT,ACN,26.28787878787879
ABT,ADBE,37.79032258064516
AAPL,AMZN,22.183333333333334
ABT,AMZN,18.05
AAPL,BMY,31.963636363636365
ABT,BMY,19.764705882352942
AAPL,BRK-B,39.39344262295082
ABT,BRK-B,32.056338028169016
AAPL,CMCSA,24.32857142857143
CMCSA,ABT,27.642857142857142
ABT,AAPL,30.805840524129103
AAPL,COST,25.38888888888889
COST,ABT,33.36231884057971
AAPL,CRM,25.382758620689657
ABT,CRM,27.879310344827587
CSCO,AAPL,33.516129032258064
ABT,CSCO,30.6
CVX,ABT,28.6984126984127
ACN,AAPL,25.066666666666666
ACN,ABT,25.733333333333334
ADBE,AAPL,34.8955223880597
ADBE,ABT,29.696969696969695
AMZN,ABT,28.8135593220339
BMY,AAPL,32.5
BMY,ABT,33.449230769230766
BRK-B,AAPL,34.13636363636363
CRM,AAPL,32.49180327868852
CRM,ABT,36.41379310344828
AAPL,ADBE,33.31578947368421
AMZN,AAPL,24.189655172413794
BRK-B,ABT,32.015625
CMCSA,AAPL,26.5
ABT,COST,22.370967741935484
ABT,CMCSA,26.614035087719298
COST,AAPL,22.545454545454547
CSCO,ABT,27.12
AAPL,CVX,34.26229508196721
ABT,CVX,29.633333333333333
CVX,AAPL,30.844827586206897
AAPL,CSCO,29.46875
